pagename_antenne,province,antenne,pagename_province,iso3,zonesante,grid3id,date,edit_par,source_acronym,sourceid,Shape_Length,Shape_Area,xmin,ymin,xmax,ymax
COD_Kinshasa_Kinshasa-Ouest,Kinshasa,Kinshasa-Ouest,COD_Kinshasa,COD,Bandalungwa,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.024491124192040,0.000022649105512,15.427635967000072,-4.406868930999963,15.435496128000068,-4.400272836999932
COD_Kinshasa_Kinshasa-Ouest,Kinshasa,Kinshasa-Ouest,COD_Kinshasa,COD,Bandalungwa,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.025385799144466,0.000023319447792,15.334481031000053,-4.392271819999962,15.340808600000059,-4.382306438999933
COD_Kinshasa_Kinshasa-Ouest,Kinshasa,Kinshasa-Ouest,COD_Kinshasa,COD,Bandalungwa,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.028458492336486,0.000043705243893,15.487513644000046,-4.378966603999970,15.495577261000051,-4.368129805999956
COD_Kinshasa_Kinshasa-Ouest,Kinshasa,Kinshasa-Ouest,COD_Kinshasa,COD,Bandalungwa,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.027246876419327,0.000042208497826,15.306431642000064,-4.349397499999952,15.313756166000076,-4.339542784999935
COD_Kinshasa_Kinshasa-Ouest,Kinshasa,Kinshasa-Ouest,COD_Kinshasa,COD,Bandalungwa,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,1.306950276892731,0.046581312855844,15.161556645000076,-4.648681691999968,15.408145058000059,-4.295412411999962
COD_Kinshasa_Kinshasa-Ouest,Kinshasa,Kinshasa-Ouest,COD_Kinshasa,COD,Bandalungwa,,2024,CIESIN GRID3,multiple data sources,Kinshasa_001,0.028820889792763,0.000037291787592,15.553510250000045,-4.061606534999953,15.561579668000036,-4.053613304999942
COD_Kongo-Central_Boma,Kongo-Central,Boma,COD_Kongo-Central,COD,Boma,,2025,CIESIN GRID3,multiple data sources,Kongo-Central_001,6.195004395423380,0.892618916579246,12.200874964000036,-6.074536320999925,13.382964401000038,-4.583154623999974
COD_Kongo-Central_Matadi,Kongo-Central,Matadi,COD_Kongo-Central,COD,Inga,,2025,CIESIN GRID3,multiple data sources,Kongo-Central_001,8.049514434524122,1.259642890954293,13.098778663000076,-5.909038093999925,14.480721827000025,-4.278261927999949
COD_Kongo-Central_Mbanza-Ngungu,Kongo-Central,Mbanza Ngungu,COD_Kongo-Central,COD,Boko Kivulu,,2025,CIESIN GRID3,multiple data sources,Kongo-Central_001,8.368108146577901,2.281631968234840,13.962183621000065,-5.904595749999942,16.256582211000023,-4.407802704999938
COD_Kwango_Kahemba,Kwango,Kahemba,COD_Kwango,COD,Kahemba,,2025,CIESIN,multiple data sources,Kwango_001,14.490645850021824,3.391081533944385,17.100805000000037,-8.130430999999930,19.975226881000026,-6.025196899999969
COD_Kwango_Kenge,Kwango,Kenge,COD_Kwango,COD,Boko,,2025,CIESIN,multiple data sources,Kwango_001,16.314067992701606,3.953859518675381,16.113787090000073,-7.349384998999938,18.700880452000035,-4.218108420999954
COD_Kwilu_Bandundu,Kwilu,Bandundu,COD_Kwilu,COD,Bagata,,2024,CIESIN GRID3,multiple data sources,Kwilu_001,9.674246868528071,1.865344360911988,16.479207698000039,-4.790796814999965,19.117744717000051,-3.223748249999971
COD_Kwilu_Kikwit,Kwilu,Kikwit,COD_Kwilu,COD,Bulungu,,2024,CIESIN GRID3,multiple data sources,Kwilu_001,14.286446397474197,4.586603522874482,17.456484549000038,-6.358800161999966,20.205134500000042,-3.678033693999964
COD_Lomami_Kabinda,Lomami,Kabinda,COD_Lomami,COD,Kabinda,,2024,CIESIN GRID3,multiple data sources,Lomami_001,14.349142619950406,3.393921319450568,23.730081276000078,-7.051567900999942,26.280756863000079,-4.865162267999949
COD_Lomami_Mweneditu,Lomami,Mweneditu,COD_Lomami,COD,Kalenda,,2024,CIESIN GRID3,multiple data sources,Lomami_001,7.077421855183583,1.033087792872933,23.009694163000063,-8.091397434999976,24.160125392000054,-6.528996799999959
COD_Lualaba_Kisenge,Lualaba,Kisenge,COD_Lualaba,COD,Dilolo,,2025,CIESIN GRID3,multiple data sources,Lualaba_001,15.600230504894506,6.500274646659996,21.751580768000053,-11.264873706999936,24.414678717000072,-7.657786888999965
COD_Lualaba_Kolwezi,Lualaba,Kolwezi,COD_Lualaba,COD,Bunkeya,,2025,CIESIN GRID3,multiple data sources,Lualaba_001,15.356362168053677,3.463317963976845,24.105119890000026,-11.742848940999977,27.146796701000028,-9.482352933999948
COD_Mai-Ndombe_Inongo,Mai-Ndombe,Inongo,COD_Mai-Ndombe,COD,Banzow Moke,,2025,CIESIN GRID3,multiple data sources,Mai-Ndombe_001,20.901398509611642,6.668353438408441,16.297990476000052,-4.384773199999927,21.004836469000054,-0.711862877999977
COD_Mai-Ndombe_Nioki,Mai-Ndombe,Nioki,COD_Mai-Ndombe,COD,Bokoro,,2025,CIESIN GRID3,multiple data sources,Mai-Ndombe_001,13.021286401339104,3.975840132706645,15.894722100000024,-4.244745138999974,19.220165335000047,-1.993500701999949
COD_Maniema_Kasongo,Maniema,Kasongo,COD_Maniema,COD,Kabambare,,2024,CIESIN GRID3,multiple data sources,Maniema_001,15.716100948559593,5.226564705122430,24.730403243000069,-5.151291715999946,28.803528067000059,-3.039437550999935
COD_Maniema_Kindu,Maniema,Kindu,COD_Maniema,COD,Alunguli,,2024,CIESIN GRID3,multiple data sources,Maniema_001,10.886771311662178,2.514076044556242,24.598164918000066,-3.442932178999968,27.142026901000065,-1.738276722999956
COD_Maniema_Lubutu,Maniema,Lubutu,COD_Maniema,COD,Ferekeni,,2024,CIESIN GRID3,multiple data sources,Maniema_001,12.947805357607631,2.809656436220010,25.793858463000049,-2.287191083999971,27.859394685000041,0.055910511000036
COD_Mongala_Bumba,Mongala,Bumba,COD_Mongala,COD,Bumba,,2024,CIESIN GRID3,multiple data sources,Mongala_001,8.126886817875807,1.421082704681048,21.516236520000064,1.986487325000041,23.578601383000034,3.334600388000069
COD_Mongala_Lisala,Mongala,Lisala,COD_Mongala,COD,Binga,,2024,CIESIN GRID3,multiple data sources,Mongala_001,14.689474315882972,3.305906009045029,19.208602618000043,0.725572309000029,22.578625098000032,3.249545500000067
COD_Nord-Kivu_Butembo,Nord-Kivu,Butembo,COD_Nord-Kivu,COD,Alimbongo,,2025,CIESIN,multiple data sources,Nord-Kivu_001,9.693178763515295,1.909713648564528,27.790753800000061,-0.633903399999951,29.987207485000056,0.954199100000039
COD_Nord-Kivu_Goma,Nord-Kivu,Goma,COD_Nord-Kivu,COD,Bambo,,2025,CIESIN,multiple data sources,Nord-Kivu_001,11.593634428603721,2.724165317382446,27.228207411000028,-2.142043687999944,29.687749350000047,-0.184638299999961
COD_Nord-Ubangi_Gbadolite,Nord-Ubangi,Gbadolite,COD_Nord-Ubangi,COD,Abuzi,,2025,CIESIN GRID3,multiple data sources,Nord-Ubangi_001,16.328969228952200,4.449052401730835,19.015954183000076,2.853285922000055,23.515638662000072,5.156251841000028
COD_Sankuru_Lodja,Sankuru,Lodja,COD_Sankuru,COD,Bena Dibele,,2024,CIESIN GRID3,multiple data sources,Sankuru_001,17.328451281597310,6.638380737929076,21.837573842000040,-5.350841798999966,25.115541768000071,-1.697484610999936
COD_Sankuru_Tshumbe,Sankuru,Tshumbe,COD_Sankuru,COD,Dikungu,,2024,CIESIN GRID3,multiple data sources,Sankuru_001,10.981570333068783,2.093518964305886,23.502977648000069,-5.858132854999951,25.016975171000070,-3.484417071999928
COD_Sud-Kivu_Bukavu,Sud-Kivu,Bukavu,COD_Sud-Kivu,COD,Bagira,,2025,CIESIN GRID3,multiple data sources,Sud-Kivu_001,12.932251672671217,3.409887846642192,26.815415732000076,-4.021928786999979,29.242415236000056,-1.582627493999951
COD_Sud-Kivu_Uvira,Sud-Kivu,Uvira,COD_Sud-Kivu,COD,Fizi,,2025,CIESIN GRID3,multiple data sources,Sud-Kivu_001,9.928470895582404,1.516229434027778,27.821060319000026,-5.055271455999957,29.264756499000043,-2.737844812999981
COD_Sud-Ubangi_Gemena,Sud-Ubangi,Gemena,COD_Sud-Ubangi,COD,Bangabola,,2025,CIESIN GRID3,multiple data sources,Sud-Ubangi_001,13.657343445982413,4.231411394585606,18.076036600000066,1.918481570000040,20.906433299000071,4.774840884000071
COD_Tanganyika_Kabalo,Tanganyika,Kabalo,COD_Tanganyika,COD,Ankoro,,2025,GRID3,multiple data sources,Tanganyika_001,18.228144010191738,5.042115690344382,25.957151778000025,-8.390529584999967,28.750549088000071,-4.957216508999977
COD_Tanganyika_Kalemie,Tanganyika,Kalemie,COD_Tanganyika,COD,Kalemie,,2025,GRID3,multiple data sources,Tanganyika_001,0.032312816128668,0.000076779926101,29.401497739000035,-5.721815791999973,29.411928837000062,-5.711857578999968
